datetime,slackbus_voltage,demand_mainbus,demand_broad,demand_schlinger,demand_resnick,demand_beckman,demand_braun,rtp,temp,feelslike,humidity,windspeed,solarradiation
2024-10-14T0,"[1185.81, -730.75, -1225.56, -693.01, 39.75, 1423.75]","[273387.2, 203470.89, 284667.75, 200882.89, 294719.22, 213726.88]","[-124565.32, -63009.97, -127604.51, -65403.07, -129534.43, -66711.14]","[-103344.69, -31622.72, -108853.7, -32984.7, -109155.28, -36231.47]","[-7494.32, 4343.34, -7201.18, 5610.11, -8611.5, 5548.16]","[-3413.85, -72015.47, -6400.82, -69237.85, -8856.33, -75533.05]","[-34062.27, -40593.81, -34101.39, -38295.77, -37999.31, -40164.26]",3.81e-05,73.4,73.4,88.86,7.1,0
2024-10-14T1,"[1194.11, -730.75, -1209.42, -687.8, 15.32, 1418.55]","[232125.83, 73955.39, 231886.11, 81322.17, 232413.38, 82497.45]","[-126243.64, -64813.63, -126785.82, -66130.42, -128847.59, -69486.97]","[-105682.8, -30279.82, -108806.02, -34694.16, -106582.93, -37466.65]","[-8663.91, 3434.82, -6942.8, 3244.23, -7938.18, 4872.46]","[43502.84, 57094.21, 43138.14, 52515.64, 48169.35, 56803.27]","[-34861.82, -39191.67, -32315.68, -36061.04, -37043.16, -37026.61]",6.08e-05,72.1,72.1,90.61,6.0,0
2024-10-14T3,"[1190.3, -735.68, -1224.45, -692.31, 34.15, 1427.99]","[207204.33, 154346.5, 218321.95, 152373.58, 223701.06, 166758.62]","[-130164.99, -65164.62, -131191.36, -66376.34, -134997.98, -67882.41]","[-103617.12, -31329.01, -108734.66, -31881.1, -109844.23, -36275.75]","[-7829.71, 4311.16, -7783.92, 5754.05, -9308.61, 5329.73]","[68456.7, -25639.22, 63652.09, -26482.38, 68940.22, -31811.67]","[-33844.2, -36293.29, -34053.32, -33149.79, -38250.54, -35847.59]",6.21e-05,71.3,71.3,93.87,2.7,0
2024-10-14T4,"[1194.33, -729.37, -1205.15, -682.02, 10.82, 1411.39]","[319151.53, 77496.52, 305681.06, 80385.54, 317204.75, 75108.2]","[-130386.14, -68513.42, -126002.2, -68297.51, -130714.91, -68842.25]","[-104123.77, -29763.67, -108635.2, -33363.8, -105609.5, -38330.26]","[-9671.83, 1233.15, -4310.09, -209.61, -5963.02, 5091.48]","[-43236.69, 57239.18, -35311.34, 55651.39, -40065.21, 64246.64]","[-31297.01, -37199.25, -31019.52, -33711.19, -34428.88, -36795.83]",6.34e-05,71.3,71.3,91.18,2.0,0
2024-10-14T5,"[1182.69, -737.51, -1225.86, -691.31, 43.17, 1428.82]","[254877.88, 199216.42, 265345.22, 193065.06, 279704.25, 209034.55]","[-126175.45, -64797.02, -128962.05, -66375.81]","[-101685.48, -32384.36, -110040.27, -28772.54, -113963.89, -37345.18]","[-7790.24, 4235.07, -9408.73, 5333.81]","[13480.8, -69440.91, 13540.9, -68314.2, 11899.37, -71891.68]","[-32281.53, -36348.14, -31644.86, -34923.18, -35140.35, -35993.04]",5.8e-05,70.5,70.5,93.5,4.4,0
2024-10-14T6,"[1195.17, -748.07, -1220.33, -674.13, 25.16, 1422.2]","[273026.75, 62002.2, 267102.1, 64873.85, 274193.34, 65420.11]","[-127645.81, -67884.09, -126075.11, -69454.22, -127832.37, -71791.24]","[-102724.27, -31618.76, -105908.5, -32407.49, -106017.8, -37785.99]","[-9494.47, 2320.43, -5802.39, 1080.83, -6841.62, 4834.38]","[-2434.64, 74602.91, 1135.02, 70098.62, 1821.54, 77597.62]","[-30448.27, -39107.29, -30184.72, -33890.77, -35042.04, -37957.49]",4.74e-05,70.5,70.5,96.23,4.7,0
2024-10-14T7,"[1191.54, -744.96, -1226.93, -689.15, 35.39, 1434.11]","[283704.72, 197863.95, 289782.66, 198761.9, 298107.1, 211004.53]","[-126719.28, -64840.67, -128081.25, -66759.23, -131059.68, -69358.83]","[-103466.8, -29002.45, -107483.84, -32417.3, -106832.29, -35227.6]","[-7876.37, 4368.11, -7804.45, 5776.65, -9381.74, 5361.03]","[-11001.53, -69124.41, -14642.82, -67655.25, -14796.48, -74322.11]","[-34139.61, -38698.62, -31258.93, -37129.24, -35493.24, -36843.04]",4.79e-05,69.4,69.4,94.01,5.9,0
2024-10-14T8,"[1201.52, -737.89, -1216.34, -686.55, 14.82, 1424.44]","[275011.16, 64628.23, 265979.56, 68121.49, 274566.38, 64949.2]","[-125604.64, -66340.53, -124472.27, -68243.91, -126047.25, -70401.73]","[-106313.67, -33100.29, -110003.42, -31569.66, -112234.21, -38337.37]","[-9483.88, 2382.39, -5963.01, 1260.78, -7023.58, 4834.46]","[470.91, 72123.87, 5134.82, 68057.34, 5268.12, 76370.84]","[-33790.18, -39366.52, -30409.92, -37325.89, -34244.66, -37093.79]",3.89e-05,70.1,70.1,94.73,5.7,32
2024-10-14T9,"[1194.82, -741.14, -1230.19, -696.53, 35.37, 1437.67]","[261049.42, 198826.61, 268432.5, 198419.4, 277720.47, 210606.58]","[-125435.74, -65153.28, -127945.16, -66490.23, -131275.83, -69480.34]","[-101874.7, -28545.47, -107795.97, -31536.32, -106740.05, -35454.06]","[-7863.65, 4347.89, -7777.92, 5806.92, -9367.34, 5435.87]","[6968.32, -69903.48, 5919.29, -68834.29, 5099.65, -73142.62]","[-32407.52, -39079.74, -30393.5, -36869.45, -34964.38, -37431.78]",3.78e-05,73.1,73.1,95.68,7.4,82
2024-10-14T10,"[1192.37, -770.74, -1271.97, -646.13, 79.6, 1416.86]","[296938.53, 79629.24, 302162.12, 75341.63, 302173.44, 79031.76]","[-132748.9, -67828.19, -130447.21, -77122.48, -123400.87, -68987.37]","[-103358.09, -37149.38, -111710.05, -33686.81, -110184.76, -41490.46]","[-9760.74, 1896.14, -4987.36, 304.11, -5931.62, 5278.03]","[-19915.09, 62481.22, -22838.41, 71129.12, -28148.97, 64064.14]","[-30824.97, -38655.49, -31820.54, -35560.65, -34122.95, -37462.12]",4.06e-05,77.3,77.3,79.47,10.0,462
2024-10-14T11,"[1190.68, -736.98, -1229.26, -694.43, 38.58, 1431.41]","[231256.83, 189798.75, 234898.1, 190344.2, 243979.8, 196950.95]","[-128999.13, -67138.28, -135185.31, -67721.88]","[-102399.49, -29993.2, -105917.06, -32550.54, -106230.45, -34024.4]","[-7893.78, 4152.53, -7946.51, 5886.74, -9660.81, 5279.71]","[42223.95, -57583.06, 39187.55, -57814.59, 41572.11, -63074.93]","[-33605.55, -38517.5, -30893.48, -38355.46, -34127.02, -37016.08]",3.93e-05,82.1,83.9,56.49,10.4,620
2024-10-14T12,"[1214.94, -731.16, -1212.45, -683.99, -2.49, 1415.15]","[342180.8, 107004.99, 327306.44, 104108.49, 338714.28, 104863.36]","[-129121.12, -69798.56, -125164.01, -67629.33, -128647.05, -70335.32]","[-103264.11, -31731.3, -105441.64, -32694.46, -103936.88, -37898.05]","[-9931.54, 1323.49, -4426.4, -253.53, -5975.43, 5118.03]","[-68932.68, 32663.95, -61753.91, 33614.53, -68220.33, 37758.04]","[-30013.3, -36572.91, -31402.77, -38905.47]",4.14e-05,87.2,88.7,46.43,11.5,572
2024-10-14T13,"[1196.21, -744.27, -1231.54, -688.86, 35.33, 1433.13]","[212137.64, 158730.95, 203543.88, 152165.42, 221029.72, 152578.27]","[-129203.82, -66901.67, -127856.54, -66562.83, -133349.08, -67441.9]","[-104897.42, -33152.86, -109702.37, -29406.44, -114303.68, -36208.91]","[-10335.81, 3662.71, -8797.17, 4513.72, -10620.69, 5603.87]","[66925.45, -17050.66, 73373.69, -15351.75, 70988.66, -11323.48]","[-34408.89, -45043.25, -30365.35, -45136.63, -33536.81, -42972.8]",5.46e-05,91.1,91.0,36.17,8.7,757
2024-10-14T14,"[1214.13, -733.43, -1215.55, -694.76, 1.42, 1428.19]","[343047.34, 177724.6, 332283.66, 176097.12]","[-129681.48, -69703.15, -126707.41, -69101.2, -130595.71, -71587.96]","[-103418.88, -31201.85, -105759.39, -33852.95, -104329.94, -37811.57]","[-11322.57, 1590.91, -6159.6, 58.89, -7689.49, 5169.27]","[-65442.83, -36224.75, -63394.62, -33007.53, -68186.77, -35241.95]","[-32530.35, -41450.29, -29636.47, -39487.18, -32732.71, -39748.36]",7.21e-05,94.2,93.1,29.19,9.7,729
2024-10-14T15,"[1197.88, -730.6, -1217.35, -691.73, 19.48, 1422.33]","[239929.27, 69223.01, 230457.64, 72828.83, 238832.2, 65729.23]","[-127897.93, -70484.34, -131050.2, -67312.66]","[-103895.43, -30978.98, -111579.37, -30924.27, -110903.12, -38988.9]","[-11369.15, 3534.4, -9213.2, 3351.42, -10455.03, 5395.21]","[39543.75, 63951.16, 47864.03, 61252.35, 47152.56, 71923.94]","[-31455.84, -38285.17, -29459.37, -35829.96, -33389.65, -36535.93]",3.87e-05,96.3,94.5,25.27,6.7,630
2024-10-14T16,"[1196.53, -743.94, -1229.35, -696.6, 32.82, 1440.54]","[280946.56, 219643.88, 283376.38, 220974.08, 294204.84, 230470.5]","[-130152.6, -66726.4, -128083.97, -67081.76, -134677.58, -67306.73]","[-106643.44, -31648.5, -109022.64, -34909.53, -109754.09, -36261.54]","[-10097.02, 4586.2, -9235.91, 6634.25, -11849.25, 6657.46]","[2081.2, -80631.34, -3988.42, -82294.51, 59.22, -90272.38]","[-35584.12, -44602.06, -32480.77, -42684.85, -37387.21, -42614.28]",2.12e-05,97.4,94.3,19.96,9.9,478
2024-10-22T17,"[1205.07, -731.84, -1210.42, -686.19, 5.35, 1418.03]","[318528.84, 72067.85, 303579.8, 78760.13, 311277.22, 71361.13]","[-126917.12, -67835.58, -125194.7, -69190.41, -126427.84, -71606.73]","[-111641.81, -32581.6, -109438.19, -36751.62, -108884.9, -36129.77]","[-11646.21, 2036.01, -6329.84, -43.71, -7454.79, 5470.33]","[-31130.86, 69361.73, -27237.89, 67618.27, -29994.33, 72948.48]","[-36746.38, -42544.22, -34977.39, -39938.89, -38098.04, -41572.16]",1.39e-05,83.0,84.6,53.51,8.7,152
2024-10-22T18,"[1204.93, -745.37, 25.07, 1435.18]","[350254.38, 185919.45, 343671.94, 189239.7, 353347.8, 190496.11]","[-123251.81, -64835.21, -120979.32, -67411.24, -123130.95, -67189.27]","[-113761.62, -32474.4, -114110.25, -37274.88, -113008.73, -37190.13]","[-11597.36, 2094.38, -6225.03, -120.85, -7272.24, 5650.15]","[-63818.23, -44694.95, -63789.6, -40989.88, -68686.65, -44682.22]","[-37075.83, -45162.8, -37832.68, -42612.73, -40493.84, -46231.5]",7.8e-06,80.9,82.8,59.12,13.1,39
2024-10-22T19,"[1204.77, -740.22, -1223.18, -693.73, 18.41, 1433.95]","[358740.5, 191104.05, 347595.78, 193168.55, 361623.7, 192363.72]","[-132039.97, -69112.41, -129599.27, -70089.36, -133776.97, -71109.02]","[-113948.59, -34177.39, -114041.52, -39092.32, -113261.5, -39058.73]","[-11578.25, 2200.35, -6528.65, 72.35, -7526.17, 5516.67]","[-63927.77, -46747.8, -61119.68, -40873.32, -69408.12, -43468.62]","[-36490.31, -42413.47, -35586.6, -42372.75, -36909.77, -43407.02]",1.12e-05,77.9,77.9,65.33,11.1,0
2024-10-22T20,"[1199.13, -760.42, -1239.04, -666.58, 39.91, 1426.99]","[351263.47, 196027.98, 344133.75, 180013.53, 365631.2, 191184.6]","[-128466.12, -76279.67, -122479.52, -68485.2, -133644.64, -70645.6]","[-109467.02, -33328.09, -111558.67, -33208.99, -112266.17, -37507.86]","[-10245.85, 3273.52, -6744.55, 1307.88, -7002.3, 5262.13]","[-65480.33, -43975.19, -65462.35, -38992.44, -70449.41, -43347.9]","[-36877.9, -44898.38, -37180.71, -39835.26, -41500.77, -44078.18]",1.8e-05,75.6,75.6,72.19,6.0,0
2024-10-22T21,"[1206.44, -741.86, -1227.73, -693.09, 21.29, 1434.96]","[349150.25, 185349.78, 343515.22, 182423.58, 358324.34, 187496.42]","[-124078.2, -64588.54, -121006.6, -67004.45, -123763.06, -66146.9]","[-112544.7, -36670.25, -112187.12, -37202.5, -115133.91, -38663.48]","[-9965.4, 4417.11, -9016.54, 3106.08, -8673.34, 4637.99]","[-65834.93, -47595.78, -63590.31, -41124.46, -72060.62, -44302.51]","[-35985.84, -40075.28, -36997.15, -39387.99, -37921.81, -42150.16]",1.76e-05,73.7,73.7,79.82,7.3,0
2024-10-22T22,"[1205.43, -737.02, -1222.99, -695.71, 17.56, 1432.74]","[370269.7, 180091.31, 361156.34, 180737.2, 375813.56, 180998.69]","[-145183.88, -58474.15, -142871.67, -63311.03, -144066.97, -61900.41]","[-112266.91, -35970.96, -112833.92, -37990.13, -114204.63, -39485.47]","[-10459.54, 2978.25, -7014.9, 1313.42, -7588.56, 5172.45]","[-66397.2, -47098.39, -62331.86, -43098.98, -69663.47, -43478.83]","[-35211.24, -40678.02, -35395.51, -36850.41, -39533.34, -40451.99]",1.96e-05,72.0,72.0,84.31,6.7,0
